work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category,annual_taxes
2024,Entry-level,Freelance,Applied Data Scientist,30000,USD,30000,United Kingdom,Remote,United Kingdom,M,Data Science and Research,7058.4314075806
2024,Executive,Full-time,Business Intelligence,230000,USD,230000,United States,In-person,United States,M,BI and Visualization,47840.72315848923
2024,Executive,Full-time,Business Intelligence,176900,USD,176900,United States,In-person,United States,M,BI and Visualization,38842.774987766104
2024,Senior,Full-time,Data Architect,171210,USD,171210,Canada,In-person,Canada,M,Data Architecture and Modeling,41915.26649270563
2024,Senior,Full-time,Data Architect,92190,USD,92190,Canada,In-person,Canada,M,Data Architecture and Modeling,21881.403422238513
2024,Mid-level,Full-time,Data Science,46203,GBP,57753,United Kingdom,In-person,United Kingdom,M,Data Science and Research,10421.785412069954
2024,Mid-level,Full-time,Data Science,38280,GBP,47850,United Kingdom,In-person,United Kingdom,M,Data Science and Research,10479.23461557199
2024,Entry-level,Full-time,Insight Analyst,50000,USD,50000,United States,Remote,United States,M,Data Analysis,9848.642791702303
2024,Entry-level,Full-time,Insight Analyst,40000,USD,40000,United States,Remote,United States,M,Data Analysis,7917.424918565154
2024,Senior,Full-time,Data Engineer,276000,USD,276000,United States,In-person,United States,M,Data Engineering,57466.50373069982
2024,Senior,Full-time,Data Engineer,148000,USD,148000,United States,In-person,United States,M,Data Engineering,30026.3689706362
2024,Senior,Full-time,Research Scientist,234000,USD,234000,United States,In-person,United States,M,Data Science and Research,53606.00001258672
2024,Senior,Full-time,Research Scientist,146000,USD,146000,United States,In-person,United States,M,Data Science and Research,31422.23015742922
2024,Entry-level,Full-time,Business Intelligence Analyst,192300,USD,192300,United States,In-person,United States,M,BI and Visualization,38927.96211343142
2024,Entry-level,Full-time,Business Intelligence Analyst,120200,USD,120200,United States,In-person,United States,M,BI and Visualization,25107.047211520003
2024,Entry-level,Full-time,Analytics Engineer,132500,USD,132500,United States,In-person,United States,M,Leadership and Management,27384.23696754181
2024,Entry-level,Full-time,Analytics Engineer,111500,USD,111500,United States,In-person,United States,M,Leadership and Management,25631.79633314146
2024,Entry-level,Full-time,Data Engineer,234000,USD,234000,United States,In-person,United States,M,Data Engineering,45839.85932557606
2024,Entry-level,Full-time,Data Engineer,146000,USD,146000,United States,In-person,United States,M,Data Engineering,30114.157688820633
2024,Senior,Full-time,Data Scientist,322000,USD,322000,United States,In-person,United States,M,Data Science and Research,58899.623438896895
2024,Senior,Full-time,Data Scientist,168000,USD,168000,United States,In-person,United States,M,Data Science and Research,25021.9542187975
2024,Mid-level,Full-time,Data Scientist,152000,USD,152000,Canada,In-person,Canada,M,Data Science and Research,32387.0005301387
2024,Mid-level,Full-time,Data Scientist,98000,USD,98000,Canada,In-person,Canada,M,Data Science and Research,21294.294949764633
2024,Senior,Full-time,Research Engineer,138000,USD,138000,United States,In-person,United States,M,Data Science and Research,25551.624543678223
2024,Senior,Full-time,Research Engineer,86000,USD,86000,United States,In-person,United States,M,Data Science and Research,21103.977953258687
2024,Senior,Full-time,Data Science,268700,USD,268700,United States,In-person,United States,M,Data Science and Research,45924.23886470624
2024,Senior,Full-time,Data Science,130300,USD,130300,United States,In-person,United States,M,Data Science and Research,26179.246696087568
2024,Senior,Full-time,BI Developer,60000,GBP,75000,United Kingdom,In-person,United Kingdom,M,BI and Visualization,14719.22422496125
2024,Senior,Full-time,BI Developer,40000,GBP,50000,United Kingdom,In-person,United Kingdom,M,BI and Visualization,11532.77921435846
2024,Senior,Full-time,Data Analyst,115000,USD,115000,United States,In-person,United States,M,Data Analysis,26379.525170770656
2024,Senior,Full-time,Data Analyst,105000,USD,105000,United States,In-person,United States,M,Data Analysis,21325.389593963526
2024,Senior,Full-time,Data Scientist,80000,GBP,100000,United Kingdom,In-person,United Kingdom,M,Data Science and Research,20756.32503920435
2024,Senior,Full-time,Data Scientist,70000,GBP,87500,United Kingdom,In-person,United Kingdom,M,Data Science and Research,15946.374941647304
2024,Senior,Full-time,Business Intelligence Engineer,156476,USD,156476,United States,Remote,United States,M,BI and Visualization,25096.257836763856
2024,Senior,Full-time,Business Intelligence Engineer,104981,USD,104981,United States,Remote,United States,M,BI and Visualization,20265.716693031824
2024,Mid-level,Full-time,Data Engineer,146000,USD,146000,United States,Remote,United States,M,Data Engineering,29656.53898978362
2024,Mid-level,Full-time,Data Engineer,110000,USD,110000,United States,Remote,United States,M,Data Engineering,24706.639497600987
2024,Senior,Full-time,Data Scientist,297000,USD,297000,United States,In-person,United States,M,Data Science and Research,66542.1363017794
2024,Senior,Full-time,Data Scientist,138000,USD,138000,United States,In-person,United States,M,Data Science and Research,26530.977983954053
2024,Senior,Full-time,Data Quality Engineer,190000,USD,190000,United States,In-person,United States,M,Data Quality and Operations,36851.24954781373
2024,Senior,Full-time,Data Quality Engineer,25000,USD,25000,United States,In-person,United States,M,Data Quality and Operations,4475.723517466454
2024,Mid-level,Full-time,Machine Learning Engineer,160480,USD,160480,United States,In-person,United States,M,Machine Learning and AI,27538.310428830366
2024,Mid-level,Full-time,Machine Learning Engineer,109920,USD,109920,United States,In-person,United States,M,Machine Learning and AI,18232.935612929974
2024,Senior,Full-time,Data Engineer,224000,USD,224000,United States,In-person,United States,M,Data Engineering,53539.47377063842
2024,Senior,Full-time,Data Engineer,150000,USD,150000,United States,In-person,United States,M,Data Engineering,28471.043454745042
2024,Entry-level,Full-time,Data Analyst,84000,USD,84000,United States,In-person,United States,M,Data Analysis,16064.035173293207
2024,Entry-level,Full-time,Data Analyst,75800,USD,75800,United States,In-person,United States,M,Data Analysis,13260.762234164311
2024,Mid-level,Full-time,Cloud Database Engineer,146125,USD,146125,United States,Remote,United States,M,Cloud and Database,31497.21556491876
2024,Mid-level,Full-time,Cloud Database Engineer,82000,USD,82000,United States,Remote,United States,M,Cloud and Database,13753.20753000496
2024,Mid-level,Full-time,Business Intelligence,207600,USD,207600,United States,In-person,United States,M,BI and Visualization,40636.70235655161
2024,Mid-level,Full-time,Business Intelligence,138400,USD,138400,United States,In-person,United States,M,BI and Visualization,25201.348558615908
2024,Entry-level,Full-time,Data Analyst,94600,USD,94600,United States,In-person,United States,M,Data Analysis,19652.019525949727
2024,Entry-level,Full-time,Data Analyst,75700,USD,75700,United States,In-person,United States,M,Data Analysis,14366.641021720727
2024,Senior,Full-time,Data Science,331292,USD,331292,United States,In-person,United States,M,Data Science and Research,58435.720049154355
2024,Senior,Full-time,Data Science,244868,USD,244868,United States,In-person,United States,M,Data Science and Research,48835.58148222341
2024,Senior,Full-time,Data Scientist,190000,USD,190000,United States,Remote,United States,M,Data Science and Research,39627.661108015585
2024,Senior,Full-time,Data Scientist,155000,USD,155000,United States,Remote,United States,M,Data Science and Research,31206.20338938782
2024,Mid-level,Full-time,Data Engineer,168000,USD,168000,United States,In-person,United States,M,Data Engineering,34616.30557640567
2024,Mid-level,Full-time,Data Engineer,158000,USD,158000,United States,In-person,United States,M,Data Engineering,29595.542183968155
2024,Executive,Full-time,Head of Data,243000,USD,243000,United States,In-person,United States,M,Leadership and Management,46837.07793330251
2024,Executive,Full-time,Head of Data,163000,USD,163000,United States,In-person,United States,M,Leadership and Management,30407.778940250402
2024,Senior,Full-time,Data Scientist,190000,USD,190000,United States,Remote,United States,M,Data Science and Research,36633.69798614595
2024,Senior,Full-time,Data Scientist,155000,USD,155000,United States,Remote,United States,M,Data Science and Research,28479.246525662194
2024,Senior,Full-time,Data Scientist,170000,USD,170000,United States,Remote,United States,M,Data Science and Research,28130.639152072297
2024,Senior,Full-time,Machine Learning Engineer,112800,EUR,125333,Lithuania,In-person,Lithuania,M,Machine Learning and AI,25511.347013741793
2024,Senior,Full-time,Machine Learning Engineer,73200,EUR,81333,Lithuania,In-person,Lithuania,M,Machine Learning and AI,15613.039022307468
2024,Senior,Full-time,Business Intelligence,192500,USD,192500,United States,In-person,United States,M,BI and Visualization,32223.73636418073
2024,Senior,Full-time,Business Intelligence,134900,USD,134900,United States,In-person,United States,M,BI and Visualization,28228.58652540854
2024,Senior,Full-time,Data Scientist,227000,USD,227000,United States,In-person,United States,M,Data Science and Research,41280.86542570008
2024,Senior,Full-time,Data Scientist,192780,USD,192780,United States,In-person,United States,M,Data Science and Research,38756.2806680316
2024,Mid-level,Full-time,BI Analyst,85000,USD,85000,United States,Remote,United States,M,BI and Visualization,18239.453955701814
2024,Mid-level,Full-time,BI Analyst,70000,USD,70000,United States,Remote,United States,M,BI and Visualization,14180.576075060377
2024,Senior,Full-time,Analytics Engineer,180000,USD,180000,United States,In-person,United States,M,Leadership and Management,40101.84246435589
2024,Senior,Full-time,Analytics Engineer,112000,USD,112000,United States,In-person,United States,M,Leadership and Management,19633.99016240782
2024,Senior,Full-time,Data Engineer,130000,USD,130000,United States,In-person,United States,M,Data Engineering,27046.08826706163
2024,Senior,Full-time,Data Engineer,100000,USD,100000,United States,In-person,United States,M,Data Engineering,18630.379818119374
2024,Senior,Full-time,Data Engineer,140000,USD,140000,United States,Remote,United States,M,Data Engineering,25561.767982290734
2024,Senior,Full-time,Data Engineer,100000,USD,100000,United States,Remote,United States,M,Data Engineering,18842.30067047117
2024,Mid-level,Full-time,Data Scientist,175000,USD,175000,United States,Remote,United States,M,Data Science and Research,33909.5661375542
2024,Mid-level,Full-time,Data Scientist,135000,USD,135000,United States,Remote,United States,M,Data Science and Research,27151.646424020313
2024,Mid-level,Full-time,Data Manager,110000,USD,110000,United States,In-person,United States,M,Leadership and Management,19436.670350276618
2024,Mid-level,Full-time,Data Manager,70000,USD,70000,United States,In-person,United States,M,Leadership and Management,15261.157081735862
2024,Senior,Full-time,Computational Biologist,236000,USD,236000,United States,In-person,United States,M,Data Science and Research,49397.92671552778
2024,Senior,Full-time,Computational Biologist,174000,USD,174000,United States,In-person,United States,M,Data Science and Research,29453.871971755263
2024,Senior,Full-time,Computational Biologist,242000,CAD,186153,Canada,In-person,Canada,M,Data Science and Research,42771.45221263265
2024,Senior,Full-time,Computational Biologist,215000,CAD,165384,Canada,In-person,Canada,M,Data Science and Research,39347.79470977284
2024,Senior,Full-time,Data Architect,363000,USD,363000,United States,In-person,United States,M,Data Architecture and Modeling,81157.93968661907
2024,Senior,Full-time,Data Architect,139800,USD,139800,United States,In-person,United States,M,Data Architecture and Modeling,27456.93015906867
2024,Senior,Full-time,Research Scientist,345000,USD,345000,United States,In-person,United States,M,Data Science and Research,61611.80691157726
2024,Senior,Full-time,Research Scientist,180000,USD,180000,United States,In-person,United States,M,Data Science and Research,39796.026216952094
2024,Senior,Full-time,Analytics Engineer,170000,USD,170000,United States,Remote,United States,M,Leadership and Management,32629.19838029119
2024,Senior,Full-time,Analytics Engineer,130000,USD,130000,United States,Remote,United States,M,Leadership and Management,29178.357182994314
2024,Mid-level,Full-time,Data Integration Specialist,75000,GBP,93750,United Kingdom,Remote,United Kingdom,M,Data Management and Strategy,19140.515583894114
2024,Mid-level,Full-time,Data Integration Specialist,55000,GBP,68750,United Kingdom,Remote,United Kingdom,M,Data Management and Strategy,15092.878675165106
2024,Senior,Full-time,Machine Learning Engineer,184800,USD,184800,Canada,Remote,Canada,M,Machine Learning and AI,38277.13020395659
2024,Senior,Full-time,Machine Learning Engineer,123200,USD,123200,Canada,Remote,Canada,M,Machine Learning and AI,26380.99628642496
2024,Senior,Full-time,Data Engineer,115000,USD,115000,United States,Remote,United States,M,Data Engineering,23024.150047657888
2024,Senior,Full-time,Data Engineer,105000,USD,105000,United States,Remote,United States,M,Data Engineering,24750.328037202253
2024,Mid-level,Full-time,Data Science Manager,110000,USD,110000,United States,In-person,United States,M,Data Science and Research,22279.206603947965
